timestamp,price_sol,price_usd
2026-03-30 18:33:45.084,0.0000011186,0.000094
2026-03-30 18:33:46.492,0.0000011186,0.000094
2026-03-30 18:33:47.806,0.0000011186,0.000094
2026-03-30 18:33:49.110,0.0000011186,0.000094
2026-03-30 18:33:50.422,0.0000010353,0.000087
2026-03-30 18:33:51.718,0.0000010353,0.000087
2026-03-30 18:33:53.015,0.0000010353,0.000087
2026-03-30 18:33:54.315,0.0000010353,0.000087
2026-03-30 18:33:55.613,0.0000010261,0.000086
2026-03-30 18:33:56.976,0.0000010261,0.000086
2026-03-30 18:33:58.281,0.0000010261,0.000086
2026-03-30 18:33:59.585,0.0000010261,0.000086
2026-03-30 18:34:00.887,0.0000009478,0.000080
2026-03-30 18:34:02.192,0.0000009478,0.000080
2026-03-30 18:34:03.488,0.0000009478,0.000080
2026-03-30 18:34:04.797,0.0000009478,0.000080
2026-03-30 18:34:06.119,0.0000009587,0.000080
2026-03-30 18:34:07.442,0.0000009587,0.000080
2026-03-30 18:34:08.768,0.0000009587,0.000080
2026-03-30 18:34:10.078,0.0000009587,0.000080
2026-03-30 18:34:11.380,0.0000009848,0.000083
2026-03-30 18:34:12.709,0.0000009848,0.000083
2026-03-30 18:34:14.010,0.0000009848,0.000083
2026-03-30 18:34:15.314,0.0000009848,0.000083
2026-03-30 18:34:16.621,0.0000009990,0.000084
2026-03-30 18:34:17.932,0.0000009990,0.000084
2026-03-30 18:34:19.228,0.0000009990,0.000084
2026-03-30 18:34:20.537,0.0000009990,0.000084
2026-03-30 18:34:21.832,0.0000010082,0.000085
2026-03-30 18:34:23.131,0.0000010082,0.000085
2026-03-30 18:34:24.465,0.0000010082,0.000085
2026-03-30 18:34:25.785,0.0000010082,0.000085
2026-03-30 18:34:27.114,0.0000008771,0.000074
2026-03-30 18:34:28.430,0.0000008771,0.000074
2026-03-30 18:34:29.766,0.0000008771,0.000074
2026-03-30 18:34:31.104,0.0000008771,0.000074
2026-03-30 18:34:32.418,0.0000009039,0.000076
2026-03-30 18:34:33.747,0.0000009039,0.000076
2026-03-30 18:34:35.047,0.0000009039,0.000076
2026-03-30 18:34:36.349,0.0000009039,0.000076
2026-03-30 18:34:37.643,0.0000009125,0.000077
2026-03-30 18:34:38.941,0.0000009125,0.000077
2026-03-30 18:34:40.243,0.0000009125,0.000077
2026-03-30 18:34:41.565,0.0000009125,0.000077
2026-03-30 18:34:42.876,0.0000008995,0.000075
2026-03-30 18:34:44.183,0.0000008995,0.000075
2026-03-30 18:34:45.515,0.0000008995,0.000075
2026-03-30 18:34:46.819,0.0000008995,0.000075
2026-03-30 18:34:48.129,0.0000007861,0.000066
2026-03-30 18:34:49.432,0.0000007861,0.000066
2026-03-30 18:34:50.726,0.0000007861,0.000066
2026-03-30 18:34:52.032,0.0000007861,0.000066
2026-03-30 18:34:53.337,0.0000007848,0.000066
2026-03-30 18:34:54.651,0.0000007848,0.000066
2026-03-30 18:34:55.956,0.0000007848,0.000066
2026-03-30 18:34:57.279,0.0000007848,0.000066
2026-03-30 18:34:58.576,0.0000008065,0.000068
2026-03-30 18:34:59.910,0.0000008065,0.000068
2026-03-30 18:35:01.219,0.0000008065,0.000068
2026-03-30 18:35:02.519,0.0000008065,0.000068
2026-03-30 18:35:03.832,0.0000009538,0.000080
2026-03-30 18:35:05.132,0.0000009538,0.000080
2026-03-30 18:35:06.456,0.0000009538,0.000080
2026-03-30 18:35:07.759,0.0000009538,0.000080
2026-03-30 18:35:09.082,0.0000009214,0.000077
2026-03-30 18:35:10.402,0.0000009214,0.000077
2026-03-30 18:35:11.719,0.0000009214,0.000077
2026-03-30 18:35:13.120,0.0000009214,0.000077
2026-03-30 18:35:14.422,0.0000008312,0.000070
2026-03-30 18:35:15.723,0.0000008312,0.000070
2026-03-30 18:35:17.022,0.0000008312,0.000070
2026-03-30 18:35:18.327,0.0000008313,0.000070
2026-03-30 18:35:19.709,0.0000008412,0.000071
2026-03-30 18:35:21.014,0.0000008412,0.000071
2026-03-30 18:35:22.313,0.0000008412,0.000071
2026-03-30 18:35:23.609,0.0000008413,0.000071
2026-03-30 18:35:24.910,0.0000008569,0.000072
2026-03-30 18:35:26.208,0.0000008569,0.000072
2026-03-30 18:35:27.505,0.0000008569,0.000072
2026-03-30 18:35:28.812,0.0000008570,0.000072
2026-03-30 18:35:30.112,0.0000007143,0.000060
2026-03-30 18:35:31.414,0.0000007143,0.000060
2026-03-30 18:35:32.719,0.0000007143,0.000060
2026-03-30 18:35:34.018,0.0000007143,0.000060
2026-03-30 18:35:35.317,0.0000007863,0.000066
2026-03-30 18:35:36.616,0.0000007863,0.000066
2026-03-30 18:35:37.912,0.0000007863,0.000066
2026-03-30 18:35:39.214,0.0000007864,0.000066
2026-03-30 18:35:40.513,0.0000007689,0.000065
2026-03-30 18:35:41.818,0.0000007689,0.000065
2026-03-30 18:35:43.121,0.0000007689,0.000065
2026-03-30 18:35:44.420,0.0000007689,0.000065
2026-03-30 18:35:45.790,0.0000007978,0.000067
